,Province,Year,Sex_ratio
942,Lào Cai,2024,104.04
943,Yên Bái,2024,101.92
944,Thái Nguyên,2024,95.30
945,Lạng Sơn,2024,104.78
946,Bắc Giang,2024,101.58
947,Phú Thọ,2024,99.34
948,Điện Biên,2024,103.18
949,Lai Châu,2024,102.22
950,Sơn La,2024,103.07
951,Hòa Bình,2024,101.42
952,Bắc Trung Bộ và duyên hải miền Trung,2024,99.77
953,Thanh Hóa,2024,99.74
954,Nghệ An,2024,100.50
955,Hà Tĩnh,2024,98.90
956,Quảng Bình,2024,101.32
957,Quảng Trị,2024,99.34
958,Thừa Thiên - Huế,2024,99.37
959,Đà Nẵng,2024,98.27
960,Quảng Nam,2024,97.63
961,Quảng Ngãi,2024,99.16
962,Bình Định,2024,98.90
963,Phú Yên,2024,101.67
964,Khánh Hòa,2024,99.43
965,Ninh Thuận,2024,102.80
966,Bình Thuận,2024,101.66
968,Kon Tum,2024,101.66
969,Gia Lai,2024,100.35
970,Đắk Lắk,2024,102.19
971,Đắk Nông,2024,104.51
972,Lâm Đồng,2024,101.38
974,Bình Phước,2024,101.33
975,Tây Ninh,2024,100.32
976,Bình Dương,2024,108.08
977,Đồng Nai,2024,101.36
978,Bà Rịa - Vũng Tàu,2024,99.52
979,TP. Hồ Chí Minh,2024,94.10
981,Long An,2024,99.75
982,Tiền Giang,2024,97.01
983,Bến Tre,2024,97.43
984,Trà Vinh,2024,97.58
985,Vĩnh Long,2024,97.84
986,Đồng Tháp,2024,100.19
987,An Giang,2024,98.64
988,Kiên Giang,2024,104.82
989,Cần Thơ,2024,98.63
990,Hậu Giang,2024,102.53
991,Sóc Trăng,2024,102.55
992,Bạc Liêu,2024,100.59
993,Cà Mau,2024,104.56
